Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total
 time   seconds   seconds    calls  Ts/call  Ts/call  name
  0.00   8897.55     0.06                             INIT_WAMCPL.in.WAMCPL_MOD
  0.00   8897.61     0.06                             WAMVAR_MOD_INIT.in.WAMVAR_MOD
  0.00   8897.66     0.05                             MRAILI_Process_send
  0.00   8897.71     0.05                             TZ13
  0.00   8897.76     0.05                             post_send
  0.00   8897.80     0.04                             MPIDI_CH3I_Progress_test
  0.00   8897.84     0.04                             MRAILI_Send_noop
  0.00   8897.88     0.04                             SETWAVE.in.WAMFIO_MOD
  0.00   8897.92     0.04                             TZ7
  0.00   8897.96     0.04                             __pthread_mutex_unlock_usercnt
  0.00   8898.00     0.04                             __remwu
  0.00   8898.04     0.04                             _wrfmt
  0.00   8898.08     0.04                             close
  0.00   8898.12     0.04                             pow
  0.00   8898.15     0.03                             MPIU_Handle_obj_alloc_complete
  0.00   8898.18     0.03                             mlx4_alloc_context
  0.00   8898.21     0.03                             munmap
  0.00   8898.24     0.03                             MPIDI_CH3I_MRAILI_rput_complete
  0.00   8898.27     0.03                             MPIDI_CH3I_MRAIL_Parse_header
  0.00   8898.30     0.03                             MPIDI_CH3_iStartRndvMsg
  0.00   8898.33     0.03                             MPIR_Reduce_binomial_MV2
  0.00   8898.36     0.03                             MRAILI_Get_Vbuf
  0.00   8898.39     0.03                             PMPI_Irecv
  0.00   8898.42     0.03                             PMPI_Sendrecv
  0.00   8898.45     0.03                             handle_read_individual
  0.00   8898.48     0.03                             putNCv_float
  0.00   8898.51     0.03                             px_get
  0.00   8898.53     0.02                             MPIC_Send
  0.00   8898.55     0.02                             MPIDI_CH3I_MRAILI_Rendezvous_rput_push
  0.00   8898.57     0.02                             MPIDI_CH3U_Handle_recv_rndv_pkt
  0.00   8898.59     0.02                             MPIDI_CH3U_Receive_data_unexpected
  0.00   8898.61     0.02                             MPIDI_CH3U_Recvq_FDU_or_AEP
  0.00   8898.63     0.02                             MPIDI_CH3_Connection_terminate
  0.00   8898.65     0.02                             MPIDI_CH3_PktHandler_RndvReqToSend
  0.00   8898.67     0.02                             MPID_Irecv
  0.00   8898.69     0.02                             MPIR_Bcast_binomial
  0.00   8898.71     0.02                             READ_WIND_NCEP_INTERP.in.WAMFIO_MOD
  0.00   8898.73     0.02                             TZ15
  0.00   8898.75     0.02                             __divl
  0.00   8898.77     0.02                             _fxstat
  0.00   8898.79     0.02                             cartesian_alloc
  0.00   8898.81     0.02                             dreg_finalize
  0.00   8898.83     0.02                             pthread_mutex_lock
  0.00   8898.85     0.02                             putNCvx_float_float
  0.00   8898.87     0.02                             px_pgin
  0.00   8898.89     0.02                             px_rel
  0.00   8898.91     0.02                             swapn2b
  0.00   8898.93     0.02                             utarray_str_dtor
  0.00   8898.94     0.02                             get_send_wqe
  0.00   8898.96     0.02                             stamp_send_wqe
  0.00   8898.97     0.02                             unlocked_free
  0.00   8898.98     0.01                             DATEVEC0.in.TIME_MOD
  0.00   8898.99     0.01                             DATEVEC1.in.TIME_MOD
  0.00   8899.00     0.01                             MPIC_Probe
  0.00   8899.01     0.01                             MPIDI_CH3I_Comm_find
  0.00   8899.02     0.01                             MPIDI_CH3I_MRAILI_Rendezvous_r3_ack_send
  0.00   8899.03     0.01                             MPIDI_CH3I_MRAILI_Rendezvous_rget_push
  0.00   8899.04     0.01                             MPIDI_CH3I_MRAILI_rget_finish
  0.00   8899.05     0.01                             MPIDI_CH3I_MRAIL_Finish_request
  0.00   8899.06     0.01                             MPIDI_CH3I_MRAIL_Prepare_rndv
  0.00   8899.07     0.01                             MPIDI_CH3I_MRAIL_Prepare_rndv_transfer
  0.00   8899.08     0.01                             MPIDI_CH3I_MRAIL_Release_vbuf
  0.00   8899.09     0.01                             MPIDI_CH3U_Handle_recv_req
  0.00   8899.10     0.01                             MPIDI_CH3U_Post_data_receive_found
  0.00   8899.11     0.01                             MPIDI_CH3U_Recvq_DP
  0.00   8899.12     0.01                             MPIDI_CH3U_Recvq_FDP_or_AEU
  0.00   8899.13     0.01                             MPIDI_CH3_EagerContigSend
  0.00   8899.14     0.01                             MPIDI_CH3_Prepare_rndv_cts
  0.00   8899.15     0.01                             MPIDI_CH3_Prepare_rndv_get
  0.00   8899.16     0.01                             MPIDI_CH3_RecvRndv
  0.00   8899.17     0.01                             MPIDI_CH3_Rendezvous_rput_finish
  0.00   8899.18     0.01                             MPIDI_CH3_iStartMsg
  0.00   8899.19     0.01                             MPID_Recv
  0.00   8899.20     0.01                             MPID_Request_create
  0.00   8899.21     0.01                             MPID_Send
  0.00   8899.22     0.01                             MPIR_Bcast_index_tuned_intra_MV2
  0.00   8899.23     0.01                             MPIR_Bcast_intra
  0.00   8899.24     0.01                             MPIR_Localcopy_RMA
  0.00   8899.25     0.01                             MPIR_MINF
  0.00   8899.26     0.01                             MPIR_Reduce_impl
  0.00   8899.27     0.01                             MPIR_Reduce_index_tuned_intra_MV2
  0.00   8899.28     0.01                             MPIR_T_cat_add_desc
  0.00   8899.29     0.01                             MPIU_Handle_obj_alloc_unsafe
  0.00   8899.30     0.01                             MPI_SET_TIMESTEPS.in.WAMMPI_MOD
  0.00   8899.31     0.01                             MRAILI_Release_vbuf
  0.00   8899.32     0.01                             MRAILI_Send_select_rail
  0.00   8899.33     0.01                             MV2_set_allreduce_tuning_table
  0.00   8899.34     0.01                             MV2_set_ireduce_tuning_table
  0.00   8899.35     0.01                             NC_varoffset
  0.00   8899.36     0.01                             PMPI_Bcast
  0.00   8899.37     0.01                             PMPI_Isend
  0.00   8899.38     0.01                             PMPI_Reduce
  0.00   8899.39     0.01                             RESET_TIME_STEP.in.WAMCPL_MOD
  0.00   8899.40     0.01                             SET_UV0.in.WAMCPL_MOD
  0.00   8899.41     0.01                             _FWF
  0.00   8899.42     0.01                             _INQUIRE
  0.00   8899.43     0.01                             __ctype_b_loc
  0.00   8899.44     0.01                             __divlu
  0.00   8899.45     0.01                             __divw
  0.00   8899.46     0.01                             __errno_location
  0.00   8899.47     0.01                             __lll_robust_lock_wait
  0.00   8899.48     0.01                             __nptl_death_event
  0.00   8899.49     0.01                             __pthread_mutex_cond_lock
  0.00   8899.50     0.01                             _f_inqu
  0.00   8899.51     0.01                             _fwch
  0.00   8899.52     0.01                             _iw_endrec
  0.00   8899.53     0.01                             cartesian_merge
  0.00   8899.54     0.01                             connect
  0.00   8899.55     0.01                             create_request
  0.00   8899.56     0.01                             deregister_memory
  0.00   8899.57     0.01                             dreg_register
  0.00   8899.58     0.01                             free
  0.00   8899.59     0.01                             ftell
  0.00   8899.60     0.01                             get_vbuf_by_offset
  0.00   8899.61     0.01                             getenv
  0.00   8899.62     0.01                             i_lentrim
  0.00   8899.63     0.01                             malloc
  0.00   8899.64     0.01                             memchr
  0.00   8899.65     0.01                             mlx4_find_qp
  0.00   8899.66     0.01                             mv2_increment_shmem_coll_counter
  0.00   8899.67     0.01                             ncx_howmany
  0.00   8899.68     0.01                             pmpi_bcast_
  0.00   8899.69     0.01                             pmpi_recv_
  0.00   8899.70     0.01                             post_srq_send
  0.00   8899.71     0.01                             pthread_mutex_destroy
  0.00   8899.72     0.01                             px_pgout
  0.00   8899.73     0.01                             recursive_dealloc
  0.00   8899.74     0.01                             register_hook_finalize
  0.00   8899.75     0.01                             release_vbuf
  0.00   8899.76     0.01                             s_cmp
  0.00   8899.77     0.01                             shmctl
  0.00   8899.78     0.01                             strerror_r
  0.00   8899.79     0.01                             strlen
  0.00   8899.80     0.01                             tcgetattr
  0.00   8899.81     0.01                             update_cons_index
  0.00   8899.82     0.01                             utarray_str_dtor
  0.00   8899.83     0.01                             utarray_str_dtor
  0.00   8899.84     0.01                             utarray_str_dtor
  0.00   8899.85     0.01                             utarray_str_dtor
  0.00   8899.86     0.01                             utarray_str_dtor
  0.00   8899.87     0.01                             utarray_str_dtor
  0.00   8899.88     0.01                             v1h_put_NC_string
  0.00   8899.89     0.01                             READWI.in.WAMCOR_MOD
  0.00   8899.89     0.01                             SET_ICE.in.WAMCPL_MOD
  0.00   8899.90     0.01                             large_malloc
  0.00   8899.90     0.01                             wamvar_mod_


2017年2月25日20:41:41
Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total
 time   seconds   seconds    calls  Ts/call  Ts/call  name
 19.63    267.80   267.80                             PROPAGAT.in.WAMCOR_MOD
 13.87    457.09   189.29                             MPIDI_CH3I_MRAILI_Cq_poll_ib
 13.10    635.87   178.78                             mlx4_poll_cq
 11.04    786.54   150.67                             MPIDI_CH3I_Progress
  8.17    897.96   111.42                             IMPLSCH.in.WAMCOR_MOD
  4.20    955.21    57.25                             MPIDI_CH3I_read_progress
  2.23    985.62    30.41                             __rmod
  2.19   1015.47    29.85                             MPIDI_CH3I_MRAILI_Get_next_vbuf
  2.09   1043.94    28.47                             INTER.in.WAMCOR_MOD
  1.92   1070.10    26.16                             get_sw_cqe
  1.92   1096.25    26.15                             MPIDU_Sched_progress_state
  1.54   1117.20    20.95                             tanf
  1.38   1136.06    18.86                             READWI_MPI.in.WAMMPI_MOD
  1.30   1153.83    17.77                             MPIDI_CH3_VC_GetStateString
  1.18   1169.96    16.13                             MEAN2.in.WAMCOR_MOD
  0.91   1182.40    12.44                             pthread_spin_lock
  0.90   1194.69    12.29                             MPIDU_Sched_progress
  0.72   1204.57     9.88                             sinf
  0.70   1214.10     9.53                             __rtand
  0.69   1223.58     9.48                             cosf
  0.68   1232.86     9.28                             MEAN1.in.WAMCOR_MOD
  0.67   1241.94     9.08                             mlx4_alloc_buf
  0.66   1250.97     9.03                             MPIDI_CH3I_MRAILI_Get_next_vbuf_local
  0.65   1259.81     8.84                             MPID_Sched_cb2
  0.64   1268.57     8.76                             pthread_spin_init
  0.64   1277.30     8.73                             MPIDI_CH3I_MRAILI_Cq_poll_iwarp
  0.64   1285.98     8.68                             utarray_str_dtor
  0.63   1294.56     8.58                             mlx4_cq_clean
  0.58   1302.47     7.91                             coshf
  0.52   1309.53     7.06                             MPIDI_CH3I_MRAILI_Test_pkt
  0.49   1316.17     6.64                             sinhf
  0.46   1322.51     6.35                             get_cqe
  0.44   1328.54     6.03                             r_cosd
  0.36   1333.49     4.95                             MIXTURE_WIT.in.WAMCPL_MOD
  0.24   1336.71     3.22                             INTACT.in.WAMCPL_MOD
  0.20   1339.46     2.75                             isnanf
  0.20   1342.18     2.72                             write
  0.18   1344.65     2.47                             OUTPUT.in.WAMMPI_MOD
  0.15   1346.73     2.08                             MIXTURE_LIMIT.in.WAMCPL_MOD
  0.15   1348.78     2.05                             read
  0.12   1350.48     1.70                             pthread_spin_unlock
  0.11   1352.04     1.56                             expf
  0.10   1353.37     1.33                             logf
  0.10   1354.68     1.31                             TZ2
  0.09   1355.88     1.20                             powf
  0.08   1357.01     1.13                             UPDATE4D_SGLE.in.YMPI_MOD
  0.07   1358.02     1.01                             sw5mc_exception
  0.07   1358.95     0.93                             __TRIG_RDXF_TZ10
  0.06   1359.75     0.80                             tanhf
  0.06   1360.53     0.78                             MIXTURE.in.WAMCPL_MOD
  0.04   1361.12     0.59                             r_mod
  0.04   1361.63     0.51                             memcpy
  0.03   1362.07     0.44                             SETSPEC.in.WAMCOR_MOD
  0.03   1362.48     0.41                             __TRIG_RDXF_TZ10
  0.03   1362.84     0.36                             TZ1
  0.02   1363.07     0.23                             __powri
  0.02   1363.29     0.22                             memset
  0.01   1363.48     0.19                             open64
  0.01   1363.58     0.10                             _Copyout
  0.01   1363.65     0.07                             _getfpemode
  0.00   1363.71     0.06                             DATENUM_DAYS.in.TIME_MOD
  0.00   1363.77     0.06                             swapn4b
  0.00   1363.82     0.05                             SET_PEBOX.in.YMPI_MOD
  0.00   1363.86     0.04                             atan2f
  0.00   1363.90     0.04                             fill_NC_var
  0.00   1363.93     0.03                             _Copyin
  0.00   1363.96     0.03                             _HTON
  0.00   1363.99     0.03                             SETLAND_V3.in.WAMMPI_MOD
  0.00   1364.02     0.03                             mlx4_post_recv
  0.00   1364.04     0.02                             GET_WIND.in.WAMFIO_MOD
  0.00   1364.06     0.02                             MPIC_Recv
  0.00   1364.08     0.02                             TZ1
  0.00   1364.10     0.02                             WAMVAR_MOD_INIT.in.WAMVAR_MOD
  0.00   1364.12     0.02                             _fxstat
  0.00   1364.14     0.02                             _xstat
  0.00   1364.16     0.02                             pthread_mutex_lock
  0.00   1364.18     0.02                             stamp_send_wqe
  0.00   1364.20     0.02                             strncasecmp_l
  0.00   1364.21     0.01                             INIT_WAMCPL.in.WAMCPL_MOD
  0.00   1364.22     0.01                             MPIDI_CH3I_MRAILI_Flush
  0.00   1364.23     0.01                             MPIDI_CH3I_MRAILI_Process_rndv
  0.00   1364.24     0.01                             MPIDI_CH3I_MRAIL_Parse_header
  0.00   1364.25     0.01                             MPIDI_CH3I_MRAIL_Prepare_rndv
  0.00   1364.26     0.01                             MPIDI_CH3I_Win_allocate_shm
  0.00   1364.27     0.01                             MPIDI_CH3U_Post_data_receive_found
  0.00   1364.28     0.01                             MPIDI_CH3U_Recvq_FDU_or_AEP
  0.00   1364.29     0.01                             MPIDI_CH3_PktHandler_RndvClrToSend
  0.00   1364.30     0.01                             MRAILI_Send_noop_if_needed
  0.00   1364.31     0.01                             PMPI_Sendrecv
  0.00   1364.32     0.01                             SETWAVE.in.WAMFIO_MOD
  0.00   1364.33     0.01                             TZ16
  0.00   1364.34     0.01                             _F90_DATE_AND_TIME
  0.00   1364.35     0.01                             _IE_SCALB
  0.00   1364.36     0.01                             _INQ
  0.00   1364.37     0.01                             __divw
  0.00   1364.38     0.01                             __pthread_mutex_unlock_usercnt
  0.00   1364.39     0.01                             __ratn2d
  0.00   1364.40     0.01                             _get_next_unit
  0.00   1364.41     0.01                             _s2ui
  0.00   1364.42     0.01                             _xfer_iolist
  0.00   1364.43     0.01                             bcmp
  0.00   1364.44     0.01                             cartesian_free
  0.00   1364.45     0.01                             close
  0.00   1364.46     0.01                             deregister_memory
  0.00   1364.47     0.01                             handle_read_individual
  0.00   1364.48     0.01                             large_malloc
  0.00   1364.49     0.01                             mlx4_post_send
  0.00   1364.50     0.01                             mpi_waitall_
  0.00   1364.51     0.01                             post_send
  0.00   1364.52     0.01                             putNCvx_float_long
  0.00   1364.53     0.01                             px_pgout
  0.00   1364.54     0.01                             utarray_str_dtor
  0.00   1364.55     0.01                             utarray_str_dtor
  0.00   1364.56     0.01                             v1h_put_size_t
  0.00   1364.57     0.01                             DATEVEC0.in.TIME_MOD
  0.00   1364.57     0.01                             DATEVEC1.in.TIME_MOD
  0.00   1364.58     0.01                             mlx4_store_qp
  0.00   1364.58     0.01                             wq_overflow


 %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
 21.15   2954.46  2954.46                             PROPAGAT.in.WAMCOR_MOD
 13.05   4777.74  1823.29                             MPIDI_CH3I_MRAILI_Cq_poll_ib
 12.10   6468.02  1690.27                             mlx4_poll_cq
 11.05   8011.74  1543.72                             MPIDI_CH3I_Progress
  8.77   9237.47  1225.72                             IMPLSCH.in.WAMCOR_MOD
  3.86   9776.35   538.88                             MPIDI_CH3I_read_progress
  2.33  10102.36   326.01                             __rmod
  2.24  10415.37   313.01                             INTER.in.WAMCOR_MOD
  2.07  10704.07   288.70                             MPIDI_CH3I_MRAILI_Get_next_vbuf
  1.83  10960.38   256.31                             MPIDU_Sched_progress_state
  1.76  11206.34   245.96                             get_sw_cqe
  1.63  11434.49   228.15                             tanf
  1.47  11640.52   206.03                             READWI_MPI.in.WAMMPI_MOD
  1.27  11818.25   177.73                             MEAN2.in.WAMCOR_MOD
  1.19  11985.06   166.81                             MPIDI_CH3_VC_GetStateString
  0.87  12106.69   121.63                             MPIDU_Sched_progress
  0.85  12225.91   119.22                             pthread_spin_lock
  0.75  12330.11   104.20                             sinf
  0.74  12434.19   104.08                             cosf
  0.71  12533.52    99.33                             MEAN1.in.WAMCOR_MOD
  0.71  12632.54    99.02                             __rtand
  0.62  12719.28    86.74                             pthread_spin_init
  0.61  12804.90    85.62                             coshf
  0.61  12890.00    85.10                             MPID_Sched_cb2
  0.60  12974.52    84.52                             MPIDI_CH3I_MRAILI_Get_next_vbuf_local
  0.60  13058.98    84.46                             mlx4_cq_clean
  0.60  13143.30    84.32                             mlx4_alloc_buf
  0.60  13227.20    83.90                             utarray_str_dtor
  0.59  13310.23    83.03                             MPIDI_CH3I_MRAILI_Cq_poll_iwarp
  0.53  13384.54    74.31                             sinhf
  0.49  13452.76    68.22                             MPIDI_CH3I_MRAILI_Test_pkt
  0.47  13518.36    65.60                             r_cosd
  0.42  13576.70    58.34                             get_cqe
  0.40  13633.17    56.47                             MIXTURE_WIT.in.WAMCPL_MOD
  0.26  13669.69    36.52                             INTACT.in.WAMCPL_MOD
  0.23  13702.44    32.75                             isnanf
  0.20  13730.21    27.77                             OUTPUT.in.WAMMPI_MOD
  0.18  13755.98    25.77                             write
  0.17  13779.71    23.73                             MIXTURE_LIMIT.in.WAMCPL_MOD
  0.16  13801.71    22.00                             read
  0.12  13819.04    17.33                             pthread_spin_unlock
  0.12  13836.05    17.01                             expf
  0.11  13850.96    14.91                             logf
  0.09  13863.84    12.88                             TZ2
  0.09  13876.10    12.26                             UPDATE4D_SGLE.in.YMPI_MOD
  0.08  13887.94    11.84                             powf
  0.08  13899.00    11.06                             sw5mc_exception
  0.08  13909.57    10.57                             __TRIG_RDXF_TZ10
  0.07  13918.97     9.40                             r_mod
  0.07  13928.22     9.25                             tanhf
  0.06  13936.41     8.19                             MIXTURE.in.WAMCPL_MOD
  0.04  13941.67     5.26                             memcpy
  0.03  13945.96     4.29                             __TRIG_RDXF_TZ10
  0.03  13950.07     4.11                             SETSPEC.in.WAMCOR_MOD
  0.03  13954.14     4.08                             TZ1
  0.02  13956.83     2.69                             __powri
  0.01  13958.81     1.98                             open64
  0.01  13959.83     1.02                             memset
